"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age Groups","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
516,"NCT00984139","Persistence of Immunity Against Hepatitis B in 12-13 Year Old Adolescents After Infant Hepatitis B Vaccination","Completed","Has Results","Hepatitis B","Biological: Engerix™-B Kinder","GlaxoSmithKline","Both","Child","Phase 4","306","Industry","Interventional","Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Prevention|Masking: Open Label","112682","September 24, 2009","October 2009","April 2010","July 3, 2014","March 2012","February 3, 2011","null","April 2010","Number of Subjects With Anti-hepatitis B Surface Antigen (Anti-HBs) Antibody Concentrations as Measured by ELISA Equal to or Above Cut-off Value|Number of Subjects With Anti-hepatitis B Surface Antigen (Anti-HBs) Antibody Concentrations as Measured by ChemiLuminescence ImmunoAssay (CLIA) Equal to or Above Cut-off Value.|Number of Subjects With Anti-HBs Antibody Concentrations as Measured by ELISA Equal to or Above Cut-off Values|Number of Subjects With Anti-HBs Antibody Concentrations as Measured by CLIA Equal to or Above Cut-off Values|Number of Subjects With Solicited Local and General Symptoms|Number of Subjects With Serious Adverse Events (SAEs)|Number of Subjects With Unsolicited Adverse Events (AEs)|Number of Subjects With Anamnestic Response to the Challenge Dose as Measured by ELISA.|Number of Subjects With Anamnestic Response to the Challenge Dose as Measured by CLIA.","https://ClinicalTrials.gov/show/NCT00984139"
517,"NCT01671787","A Phase 1b Study Assessing GS-7340 in Treatment-Naive Adults With Chronic Hepatitis B","Completed","No Results Available","Chronic Hepatitis B","Drug: GS-7340|Drug: Tenofovir disoproxil fumarate","Gilead Sciences","Both","Adult","Phase 1","51","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","GS-US-320-0101","August 21, 2012","March 2012","April 2013","May 8, 2014","May 2014","No Study Results Posted","null","April 2013","Change in serum hepatitis B virus (HBV) DNA|Change in HBV DNA for tenofovir disoproxil fumarate (TDF)|Change in HBV DNA of GS-7340 through 28 days of therapy|Pharmacokinetics (PK) of GS-7340 and/or tenofovir (TVF) following single and multiple doses of GS-7340 and TDF|Safety and Tolerability of Therapy","https://ClinicalTrials.gov/show/NCT01671787"
518,"NCT00629824","Pegylated Interferon Plus Ribavirin in Treating Older Patients With Chronic Hepatitis C","Completed","No Results Available","Chronic Hepatitis C","Drug: pegylated interferon alpha and plus ribavirin|Drug: pegylated interferon alpha and plus ribavirin|Drug: pegylated interferon alpha and plus ribavirin","Kaohsiung Medical University Chung-Ho Memorial Hospital","Both","Adult|Senior","Phase 4","250","Other","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","KMUH-IRB- 960047","February 26, 2008","February 2007","April 2009","September 6, 2010","February 2007","No Study Results Posted","null","April 2009","Efficacy: Sustained virological response (SVR), HCV RNA seronegative by PCR throughout 24-week off-treatment period.|RVR, rapid virological response, defined as HCV RNA < 50 IU/mL at treatment week 4","https://ClinicalTrials.gov/show/NCT00629824"
519,"NCT02387684","Efficay of Extended Peginterferon Alpha 2a Treatment in HBeAg Negative Chronic Hepatitis B Patients","Active, not recruiting","No Results Available","Chronic Hepatitis B","","Beijing Ditan Hospital","Both","Adult","","120","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","DTXY007","March 1, 2015","April 2012","December 2016","March 8, 2015","March 2015","No Study Results Posted","null","December 2016","rate of sustained viral response|rate of HBsAg loss","https://ClinicalTrials.gov/show/NCT02387684"
520,"NCT01928511","Efficacy of Switching or Adding Pegylated Interferon in Chronic Hepatitis B Patients on Long Term Oral Antiviral Therapy","Recruiting","No Results Available","Chronic Hepatitis B","Drug: peg-interferon alpha 2b, 1.5mcg/kg s/c given weekly|Drug: Nucleos(t)ide analogue therapy","Seng Gee Lim|Tan Tock Seng Hospital|Singapore Clinical Research Institute|Merck Sharp & Dohme Corp.|National University Health System, Singapore","Both","Adult","Phase 4","310","Other|Industry","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","MK4031-398|CIRG12may075","August 21, 2013","January 2014","January 2016","January 8, 2014","January 2014","No Study Results Posted","SWAP","January 2016","Reduction in quantitative HBsAg>1 log|HBeAg loss|HBsAg seroclearance|HBeAg seroconversion|HBsAg <200 IU/ml|undetectable HBV DNA","https://ClinicalTrials.gov/show/NCT01928511"
521,"NCT00977054","Double Filtration Plasmapheresis for Hepatitis C Virus (HCV) Genotype 1 Patients With High Viral Load","Terminated","No Results Available","Hepatitis C","Drug: DFPP + Peg-IFN + RBV|Drug: Peg-IFN + RBV","National Taiwan University Hospital|National Science Council, Taiwan|Department of Health, Executive Yuan, R.O.C. (Taiwan)","Both","Adult|Senior","Phase 4","59","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","200904053D","September 13, 2009","September 2009","December 2012","December 19, 2012","December 2012","No Study Results Posted","null","December 2012","Sustained virologic response (SVR)|Rapid virologic response (RVR)|Treatment-related withdrawal rate","https://ClinicalTrials.gov/show/NCT00977054"
522,"NCT01890772","Vitamin D + Telaprevir + Peginterferon + Ribavirin for of Hepatitis C Genotype 1","Withdrawn","No Results Available","Hepatitis C","Drug: Telaprevir|Drug: Peginterferon alfa-2a|Drug: Ribavirin|Dietary Supplement: Vitamin D","Timothy Morgan, MD|Vertex Pharmaceuticals Incorporated|Southern California Institute for Research and Education","Both","Adult|Senior","Phase 2|Phase 3","0","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","1217","May 31, 2013","August 2013","null","May 13, 2014","May 2014","No Study Results Posted","null","October 2015","HCV RNA|adverse event profile","https://ClinicalTrials.gov/show/NCT01890772"
523,"NCT00148863","Interferon Gamma With Peg-Interferon Alpha 2a and Ribavirin in Non Responders Patients With Chronic Hepatitis C","Completed","No Results Available","Hepatitis C, Chronic","Drug: Peg-interferon alpha 2a (drug)|Drug: Ribavirin (drug)|Drug: Interferon gamma (drug)","French National Agency for Research on AIDS and Viral Hepatitis|InterMune|Hoffmann-La Roche","Both","Adult|Senior","Phase 2","65","Other|Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label","2004-005033-19|ANRS HC16 Gammatri","September 7, 2005","June 2004","August 2007","August 29, 2007","August 2007","No Study Results Posted","null","null","Virological response as defined by an HCV RNA measure non detectable at W28 with qualitative PCR (centralized measure)|Virological response at W72|Biochemical response at W72 (ALT below normal value)|Quality of life|Immunologic response (CD4 and CD8 HCV specific)|Safety","https://ClinicalTrials.gov/show/NCT00148863"
524,"NCT00734162","Evaluation of Tenofovir Disoproxil Fumarate in Adolescents With Chronic Hepatitis B Infection","Active, not recruiting","Has Results","Hepatitis B Virus (HBV)","Drug: Tenofovir disoproxil fumarate (TDF)|Drug: Placebo","Gilead Sciences","Both","Child","Phase 3","106","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)","GS-US-174-0115","August 13, 2008","December 2008","January 2016","October 7, 2015","October 2015","October 8, 2012","null","March 2011","Percentage of Participants With HBV Deoxyribonucleic Acid (DNA) < 400 Copies/mL at Week 72|Number of Participants With at Least a 6% Decrease From Baseline in Bone Mineral Density (BMD) of the Spine at Week 72|Percentage of Participants With HBV DNA < 400 Copies/mL at Week 48|Percentage of Participants With HBV DNA < 169 Copies/mL at Week 48|Percentage of Participants With HBV DNA < 169 Copies/mL at Week 72|Percentage of Participants With Normal Alanine Aminotransferase (ALT) at Week 48|Percentage of Participants With Normal ALT at Week 72|Percentage of Participants With Abnormal ALT at Baseline Who Had Normalized ALT at Week 48|Percentage of Participants With Abnormal ALT at Baseline Who Had Normalized ALT at Week 72|Percentage of Participants With HBV DNA < 400 Copies/mL and Normal ALT at Week 48|Percentage of Participants With HBV DNA < 400 Copies/mL and Normal ALT at Week 72|Percentage of Participants With HBV Surface Antigen (HBsAg) Loss at Week 48|Percentage of Participants With HBsAg Loss at Week 72|Percentage of Participants With Seroconversion to Antibody Against HBV Surface Antigen (Anti-HBs) at Week 48|Percentage of Participants With Seroconversion to Anti-HBs at Week 72|Percentage of Participants Who Were HBV Early Antigen (HBeAg) Positive at Baseline and Who Had HBeAg Loss at Week 48|Percentage of Participants Who Were HBeAg Positive at Baseline and Who Had HBeAg Loss at Week 72|Percentage of Participants Who Were HBeAg Positive at Baseline and Who Had Seroconversion to Antibody Against HBV Early Antigen (Anti-HBe) at Week 48|Percentage of Participants Who Were HBeAg Positive at Baseline and Who Had Seroconversion to Anti-HBe at Week 72|Percentage of Participants Who Were HBeAg Positive at Baseline and Who Had HBV DNA < 400 Copies/mL, Normal ALT, and HBeAg Loss at Week 48|Percentage of Participants Who Were HBeAg Positive at Baseline and Who Had HBV DNA < 400 Copies/mL, Normal ALT, and HBeAg Loss at Week 72|Percentage of Participants Who Were HBeAg Positive at Baseline and Who Had HBV DNA < 400 Copies/mL, Normal ALT, and Seroconversion to HBeAg at Week 48|Percentage of Participants Who Were HBeAg Positive at Baseline and Who Had HBV DNA < 400 Copies/mL, Normal ALT, and Seroconversion to HBeAg at Week 72|Percentage of Participants Who Had Abnormal ALT at Baseline and Who Had HBV DNA < 400 Copies/mL and ALT Normalized at Week 48|Percentage of Participants Who Had Abnormal ALT at Baseline and Who Had HBV DNA < 400 Copies/mL and ALT Normalized at Week 72|Percentage of Participants Who Were HBeAG Positive With Abnormal ALT at Baseline, and Who Had HBV DNA < 400 Copies/mL, ALT Normalized, and HBeAg Loss at Week 48|Percentage of Participants Who Were HBeAG Positive With Abnormal ALT at Baseline, and Who Had HBV DNA < 400 Copies/mL, ALT Normalized, and HBeAg Loss at Week 72|Percentage of Participants Who Were HBeAG Positive With Abnormal ALT at Baseline, and Who Had HBV DNA < 400 Copies/mL, ALT Normalized, and Seroconversion to HBeAg at Week 48|Percentage of Participants Who Were HBeAG Positive With Abnormal ALT at Baseline, and Who Had HBV DNA < 400 Copies/mL, ALT Normalized, and Seroconversion to HBeAg at Week 72|Number of Participants With at Least a 6% Decrease From Baseline in Spine BMD at Week 48|Percent Change From Baseline in Spine BMD at Week 48|Percent Change From Baseline in Spine BMD at Week 72|Change in Z-score for Spine BMD at Week 48|Change in Z-score for Spine BMD at Week 72|Percent Change From Baseline in Whole Body BMD at Week 48|Percent Change From Baseline in Whole Body BMD at Week 72|Change in Z-score for Whole Body BMD at Week 48|Change in Z-score for Whole Body BMD at Week 72|Number of Participants With Changes in Drug-resistant Mutations at Week 48|Number of Participants With Changes in Drug-resistant Mutations at Week 72","https://ClinicalTrials.gov/show/NCT00734162"
525,"NCT02387463","Efficacy of Extended Peginterferon Alpha 2a Treatment in HBeAg Positive Chronic Hepatitis B Patients","Active, not recruiting","No Results Available","Chronic Hepatitis B","","Beijing Ditan Hospital","Both","Adult","","140","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","DTXY008","March 8, 2015","March 2012","December 2016","March 12, 2015","March 2015","No Study Results Posted","null","December 2016","rate of HBeAg seroconversion (defined as HBeAg loss with anti-HBe positive after PEG-IFN a-2a treatment and follow up)|rate of HBsAg loss (defined as HBsAg level lower than 0.05 IU/ml)|rate of sustained viral response (defined as serum HBV DNA undetectable at the end of treatment and the end of follow up)","https://ClinicalTrials.gov/show/NCT02387463"
526,"NCT00338780","Trial of Lamivudine Treatment in HBeAg Negative Chronic Hepatitis B Patients (in Asia)","Completed","No Results Available","Chronic Hepatitis B","Drug: Lamivudine/ Placebo 100mg daily","Chinese University of Hong Kong|GlaxoSmithKline","Both","Adult","Phase 4","null","Other|Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double-Blind","NUC30934","June 19, 2006","November 2000","January 2005","October 27, 2006","October 2006","No Study Results Posted","null","null","Proportion of patients with complete response (normalisation of LAT, ie. <1xULN and disappearance of HBV DNA, lower limit of detection), at MOnth 24|Proportion of patients with partial response|Histological improvement at month 24|Proportion of patients with complete response post-treatment (at Month 30)|Proportion of patinets with partial response post-treatment (at Month 30)|Progression of fibrosis|Progression of fibrosis to cirrhosis|HBsAg seroconversion|Safety of treatment","https://ClinicalTrials.gov/show/NCT00338780"
527,"NCT02065999","Surveillance for Antiviral Resistant Variants in Chronic Hepatitis C Patients","Recruiting","No Results Available","Chronic Hepatitis C Infection","","Kirby Institute|The University of New South Wales|Merck Sharp & Dohme Corp.","Both","Child|Adult|Senior","","100","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","VHCRP1107","February 16, 2014","November 2012","March 2017","March 30, 2015","March 2015","No Study Results Posted","SEARCH-C","March 2017","Prevalence of HCV resistance associated variants (RAVs) and the incidence of RAVs arising during therapy.|Factors associated with treatment failure due to virological breakthrough / relapse.","https://ClinicalTrials.gov/show/NCT02065999"
